rating,stock,price,writer,genre,published_by,plot_summary,book_title
4.5,,,"Alka Joshi (Author), Sneha Mathan (Narrator), Harlequin Audio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""Historical"",""Cultural Heritage""]",Amazon,"In 1950s Jaipur, a skilled henna artist navigates societal expectations and personal ambition while hiding a hidden past from her clients and estranged family.",The Henna Artist
4.5,,,"Neil Gaiman (Author), George Guidall (Narrator), HarperAudio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Action & Adventure"",""Mystery, Thriller & Suspense"",""Mystery""]",Amazon,"In this TV tie-in edition of Neil Gaiman's novel, ex-convict Shadow Moon is released from prison to find America steeped in a hidden war between old and new gods, where he becomes entangled in the conflict.",American Gods [TV Tie-In]
4.5,,,Jane Healey,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"In Jane Healey's ""The Secret Stealers: A Novel,"" a young woman discovers her ancestral connection to a hidden world of magic and danger, forcing her to confront shadowy forces and unlock her own latent powers to protect her family.",The Secret Stealers: A Novel
4.8,In Stock.,6.99,Hopscotch Girls,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",Amazon Warehouse,"This coloring book empowers girls with affirmations and vibrant illustrations to foster self-confidence, bravery, and a beautiful sense of self.","I Am Confident, Brave & Beautiful: A Coloring Book for Girls"
4.4,,,"Chris Whitaker (Author), George Newbern (Narrator), Macmillan Audio (Publisher) & 0 more","[""Books"",""Mystery, Thriller & Suspense"",""Mystery"",""Amateur Sleuths""]",Amazon,"In a windswept coastal town, a defiant teenager's past and future collide when a murder resurfaces, threatening to unravel the fragile peace she's built.",We Begin at the End
4.6,In Stock.,10.99,Colleen Hoover,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Goodwill of Orange County,"Colleen Hoover's *Regretting You* tells the story of a mother and daughter whose lives are irrevocably changed after a devastating accident involving the father and husband, forcing them to confront buried secrets and navigate their fractured relationship.",Regretting You
4.4,In Stock.,7.48,Liv Constantine,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",Bear Books Outlet,"In **The Last Mrs. Parrish**, a young woman manipulates her way into the life of a wealthy widower and his beautiful, seemingly perfect wife, only to discover that behind the gilded facade lies a dark and dangerous truth.",The Last Mrs. Parrish: A Novel
4.4,Available to ship in 1-2 days.,15.4,James PattersonBill Clinton,"[""Books"",""Literature & Fiction"",""Action & Adventure""]",Benjamins Bookshelf,"In this thriller co-authored with James Patterson, President Matthew Keating must secretly negotiate with terrorists to prevent a devastating cyberattack that threatens to cripple the nation.",The President Is Missing: A Novel
4.5,,,"Kurt Vonnegut (Author), James Franco (Narrator), Audible Studios (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Humor & Satire"",""Satire""]",Amazon,"Billy Pilgrim becomes ""unstuck in time"" after experiencing the horrors of the Dresden bombing and a supposed alien abduction, living his life out of sequence and observing it with detached resignation.",Slaughterhouse-Five
4.8,,16.5,by Never Split the Difference: Negotiating as if Your Life Depended on It (Author),"[""Books"",""Business & Money"",""Management & Leadership""]",elitereaderelitereaderK4rum,"Chris Voss's ""Never Split the Difference"" teaches readers how to leverage the skills of hostage negotiation to achieve better outcomes in any negotiation by focusing on understanding and empathy.",Never Split the Difference: Negotiating as if Your Life Depended on It
4.2,In Stock.,16.8,Taylor Jenkins Reid,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",California Book Bag,"Taylor Jenkins Reid's *Malibu Rising* chronicles one fateful night in 1983 as the iconic, yet troubled, Riva siblings prepare for their annual end-of-summer party, revealing the secrets and betrayals that have shaped their lives and will ultimately lead to the destruction of their family home.",Malibu Rising: A Novel
4.7,Available to ship in 1-2 days.,6.44,Crystal Chatterton,"[""Books"",""Children's Books"",""Science, Nature & How It Works""]",Amazon,"This book offers over 100 engaging STEM/STEAM projects for kids, explaining the scientific principles behind each fun experiment.",Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work (Awesome STEAM Activities for Kids)
4.8,In stock. Usually ships within 2 to 3 days.,23.41,Craig Smith,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",BOOKS etc. _BOOKS etc. _,"This boxed set brings the infectious joy of ""The Wonky Donkey"" to life with the storybook and a cuddly wonky donkey toy, perfect for sharing giggles and songs.",The Wonky Donkey Book & Toy Boxed Set
4.5,,,"David Baldacci (Author), Kyf Brewer (Narrator), Orlagh Cassidy (Narrator), Grand Central Publishing (Publisher) & 1 more","[""Books"",""Literature & Fiction"",""Action & Adventure"",""Mystery, Thriller & Suspense"",""Crime""]",Amazon,"In *Walk the Wire*, Amos Decker and his team investigate a string of unsolved murders in the isolated, oil-rich town of Rustic, where a dark secret fuels the violence.",Walk the Wire
4.6,In Stock.,12.48,Nicholas Sparks,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Momma's Media,"Nicholas Sparks' ""The Return"" follows a soldier's journey home after his service, finding unexpected love and confronting the painful secrets of his past.",The Return
4.7,In Stock.,14.59,Pierre Alex Jeanty,"[""Books"",""Literature & Fiction"",""Poetry""]",My Corner BookstoreMy Corner BookstoreRich Media Direct,"In ""Her,"" Pierre Alex Jeanty explores the emotional complexities of love, vulnerability, and self-discovery through the powerful bonds between women.",Her
4.2,,,"Robert Galbraith (Author), Robert Glenister (Narrator), Hachette Audio (Publisher) & 0 more","[""Books"",""Mystery, Thriller & Suspense"",""Mystery"",""Private Investigators""]",Amazon,"A disabled private investigator takes on the baffling murder of a famous supermodel, uncovering a tangled web of secrets and lies.",The Cuckoo's Calling
4.9,In Stock.,16.69,Mark R Levin,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",Amazon,"Mark R. Levin's ""American Marxism"" argues that contemporary Marxism, disguised as social justice and equity movements, fundamentally seeks to dismantle American constitutional principles and individual liberty.",American Marxism
4.7,In Stock.,17.36,Clarissa Pinkola Estes,"[""Books"",""Health, Fitness & Dieting"",""Psychology & Counseling""]",The BAP Goods,"Clarissa Pinkola Estés's ""Women Who Run With the Wolves"" explores the archetype of the ""wild woman"" through myths, fairy tales, and folktales, guiding readers to reconnect with their innate instincts and primal nature.",Women Who Run With The Wolves: Contacting the Power of the Wild Woman (Classic Edition)
4.2,,,"John Grisham (Author), Ari Fliakos (Narrator), Random House Audio (Publisher) & 0 more","[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense"",""Suspense""]",Amazon,"""The Rooster Bar"" by John Grisham follows three disgruntled law students who create a fake law firm to defraud the system, only to find themselves targeted by the very authorities they sought to exploit.",The Rooster Bar
4.6,In Stock.,8.52,Ken Follett,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",giggil,"In Ken Follett's ""Winter of the World,"" the world plunges into the turmoil of World War II, forcing the families from the first book to navigate the escalating global conflict and its devastating consequences.",Winter of the World: Book Two of the Century Trilogy
4.6,In Stock.,7.49,John Grisham,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",Amazon,"In *Sycamore Row*, defense attorney Jake Brigance takes on the controversial case of a wealthy, racist landowner who leaves his entire fortune to his black housekeeper, igniting racial tensions and a legal battle in a Mississippi town.",Sycamore Row (The Jake Brigance)
4.7,,,Markus Zusak,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",Jenson Books Inc,"In Nazi Germany, a young girl named Liesel finds solace and meaning by stealing books and sharing their stories amidst the horrors of war and loss.",The Book Thief
4.8,In Stock.,8.64,B. J. Novak,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",California Book Bag,"In *The Book with No Pictures*, readers are hilariously compelled to say every silly word the book dictates, no matter how ridiculous.",The Book with No Pictures
4.8,In Stock.,11.15,Kristin Hannah,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",-OnTimeBooks-,"Kristin Hannah's *The Nightingale* is a powerful story of two sisters in Nazi-occupied France who navigate love, loss, and survival in vastly different ways, revealing the quiet strength of women during wartime.",The Nightingale: A Novel
4.7,In Stock.,7.81,Ken Follett,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",giggil,"In 14th-century England, a new generation in Kingsbridge navigates plague, war, and personal ambition to rebuild their shattered lives and community.",World Without End: A Novel (Kingsbridge)
4.7,,,"Stephenie Meyer (Author), Ilyana Kadushin (Narrator), Listening Library (Publisher) & 0 more","[""Books"",""Children's Books"",""Science Fiction & Fantasy"",""Fantasy & Magic""]",Amazon,"In *Eclipse*, Bella Swan must choose between her love for the vampire Edward and her growing feelings for her werewolf friend Jacob, all while a vengeful vampire army threatens their fragile peace.","Eclipse: The Twilight Saga, Book 3"
4.8,In Stock.,9.89,James Bowen,"[""Books"",""Crafts, Hobbies & Home"",""Pets & Animal Care""]",Daye Book House,**James Bowen's memoir recounts how a street-smart ginger cat named Bob transformed his life as a recovering addict and busker in London.**,A Street Cat Named Bob: And How He Saved My Life
4.7,,,"Leigh Bardugo (Author), Roger Clark (Narrator), Jay Snyder (Narrator), Elizabeth Evans (Narrator), Fred Berman (Narrator), Brandon Rubin (Narrator), Kevin T. Collins (Narrator), Lauren Fortgang (Narrator), Peter Ganim (Narrator), Audible Studios (Publisher) & 7 more","[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense"",""Supernatural""]",Amazon,"In *Crooked Kingdom*, Kaz Brekker and his crew of six outcasts pull off a daring heist to secure their freedom and fortune in the treacherous city of Ketterdam, but their success is threatened by vengeful enemies and the deepening bonds between them.",Crooked Kingdom
4.8,,,Scholastic,"[""Books"",""Children's Books"",""Activities, Crafts & Games""]",Amazon,"This comprehensive handbook provides essential stats and facts for over 800 Pokémon, serving as a definitive guide for trainers.",Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters
4.3,,,Richard Osman,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",Amazon,"In a peaceful retirement village, four unlikely friends investigate murders in their community and",The Thursday Murder Club: The Record-Breaking Sunday Times Number One Bestseller
4.4,,,"David Baldacci (Author), Brittany Pressley (Narrator), Kyf Brewer (Narrator), Hachette Audio (Publisher) & 1 more","[""Books"",""Literature & Fiction"",""Action & Adventure"",""Mystery, Thriller & Suspense"",""Mystery""]",Amazon,"In David Baldacci's *Long Road to Mercy*, a young investigator named Isaiah is pulled into a dangerous world of secrets and violence while trying to solve the murder of a prominent judge in rural Virginia.",Long Road to Mercy
4.1,Only 1 left in stock - order soon.,13.94,Stephanie Winston Wolkoff,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",Zoey DistributionsZoey DistributionsGREENWORLD BOOKS,"Stephanie Winston Wolkoff's memoir details her complex and ultimately fractured relationship with Melania Trump, from their early days as confidantes to her eventual role as a scapegoat during the Trump administration.",Melania and Me: The Rise and Fall of My Friendship with the First Lady
4.6,,,Ray Bradbury,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",Amazon,"In a future where books are outlawed and burned, a fireman tasked with destroying them begins to question his role and the society he lives in.",Fahrenheit 451: A Novel
4.8,In Stock.,22.53,by Bessel van der Kolk M.D. (Author),"[""Books"",""Health, Fitness & Dieting"",""Mental Health""]",eCampus_,"Bessel van der Kolk's ""The Body Keeps the Score"" explains how trauma profoundly impacts the brain and body, and explores innovative therapeutic approaches that help individuals reclaim their lives by processing these deeply ingrained experiences.","The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma"
4.8,In Stock.,16.69,Alex Haley,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",Clearance Book Sales,Alex Haley's **The Autobiography of Malcolm X** chronicles Malcolm X's transformation from a life of crime and racism to a powerful advocate for Black empowerment and self-determination.,The Autobiography of Malcolm X
4.0,,,"Becca Battoe (Narrator), E. L. James (Author), Random House Audio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Women's Fiction"",""Contemporary""]",Amazon,"This is a bit of a trick question as the provided information is slightly misleading. E. L. James is the author of ""Fifty Shades of Grey,"" not Becca Battoe. Becca Battoe might be a narrator or a different person involved in a specific audiobook version, but the core story remains the same.  Here's a concise, one-sentence summary:  **A naive college student embarks on an intense and unconventional sexual relationship with a wealthy, enigmatic businessman that tests her boundaries and awakens her desires.**",Fifty Shades of Grey: Book One of the Fifty Shades Trilogy
4.3,In Stock.,16.09,Kazuo Ishiguro,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"Through the eyes of an Artificial Friend, this novel explores love, humanity, and what it means to be truly seen in a world grappling with technological advancement.",Klara and the Sun: A novel
4.5,In Stock.,10.66,Graeme Simsion,"[""Books"",""Literature & Fiction"",""World Literature""]",-OnTimeBooks-,"Don Tillman, a genetics professor with Asperger's, creates a scientific questionnaire to find a suitable wife, but is thrown off course by the unconventional and spontaneous Rosie.",The Rosie Project: A Novel
4.6,In Stock.,10.74,Anthony Doerr,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",LiquidationFactor,This novel follows the parallel lives of a blind French girl and a German orphan boy whose paths intertwine amidst the devastation of World War II.,All the Light We Cannot See: A Novel
4.6,In Stock.,14.53,Anthony Doerr,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",gatecitybooks,A blind French girl and a German orphan boy's paths cross amidst the devastation of World War II as they each navigate their struggle for survival and connection.,All the Light We Cannot See
4.7,,,"Ibram X. Kendi (Author, Narrator), Random House Audio (Publisher)","[""Books"",""Politics & Social Sciences"",""Sociology"",""Race Relations"",""Discrimination & Racism""]",Amazon,"Ibram X. Kendi's ""How to Be an Antiracist"" argues that the opposite of racist is not ""not racist"" but actively antiracist, requiring a conscious and ongoing commitment to dismantling racist policies and ideas.",How to Be an Antiracist
4.8,In Stock.,8.4,Brandon Sanderson,"[""Books"",""Literature & Fiction"",""Action & Adventure""]",Amazon,"In *Oathbringer*, Kaladin must overcome his depression and embrace his role as a Radiant to unite the kingdoms against the Voidbringers, while Dalinar grapples with his past and the daunting task of unifying humanity.","Oathbringer: Book Three of the Stormlight Archive (The Stormlight Archive, 3)"
4.9,,,"Mark R. Levin (Author, Narrator), Jeremy Lowell (Narrator), Simon & Schuster Audio (Publisher) & 0 more","[""Books"",""Politics & Social Sciences"",""Politics & Government"",""Ideologies & Doctrines"",""Conservatism & Liberalism""]",Amazon,"Mark R. Levin's ""American Marxism"" argues that modern American progressivism is a dangerous and insidious movement rooted in Marxist ideology that seeks to fundamentally alter the nation's foundational principles.",American Marxism
4.5,In Stock.,8.16,"by Dr. Robin DiAngelo (Author), Michael Eric Dyson (Foreword)","[""Books"",""History"",""Americas""]",Wyoming Book Company LLC,"In ""White Fragility,"" Dr. Robin DiAngelo explains how white people's ingrained discomfort and defensiveness when confronted with discussions about racism prevent meaningful progress in addressing racial inequality.",White Fragility: Why It's So Hard for White People to Talk About Racism
4.8,Only 13 left in stock - order soon.,41.12,J. R. R. Tolkien,"[""Books"",""Literature & Fiction"",""Mythology & Folk Tales""]",Basi6 InternationalBasi6 International,This boxed set collects J.R.R. Tolkien's epic tales of hobbits Bilbo and Frodo Baggins as they embark on perilous journeys that shape the fate of Middle-earth and its inhabitants.,The Hobbit & The Lord of the Rings Boxed Set
4.4,,,Jane Harper,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",Amazon,"A federal agent returns to his drought-stricken hometown to investigate the murder of his childhood friend, uncovering long-buried secrets.",The Dry: A Novel
4.7,In Stock.,56.05,Frank Herbert,"[""Books"",""Science Fiction & Fantasy"",""Science Fiction""]",glenthebookseller,"In a distant future, young Paul Atreides must navigate the treacherous politics and harsh environment of the desert planet Arrakis to fulfill his destiny as a messianic figure.",Dune: Book One in the Dune Chronicles
4.7,In Stock.,13.99,Ashlee Vance,"[""Books"",""Engineering & Transportation"",""Engineering""]",VMG Books & Media,"Ashlee Vance's biography chronicles Elon Musk's relentless pursuit of ambitious, world-changing goals through his ventures in electric cars and space exploration.","Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future"
4.6,In Stock.,16.72,Nora Roberts,"[""Books"",""Literature & Fiction"",""Women's Fiction""]",gatecitybooks,"In Nora Roberts' *Legacy*, a renowned horse trainer inherits a sprawling ranch and must confront family secrets and a dangerous past to protect her legacy.",Legacy: A Novel
4.6,In Stock.,17.89,Aldous Huxley,"[""Books"",""Literature & Fiction"",""United States""]",Amazon,"In a futuristic society engineered for happiness, individuals are conditioned into rigid social castes and their lives are dictated by pleasure and conformity, until one man's encounter with the past reveals the chilling cost of such stability.",Brave New World
4.9,In Stock.,52.6,J.K. Rowling,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",Crystal Frey,"Harry Potter is unexpectedly chosen to compete in the dangerous Triwizard Tournament, forcing him to confront dark magic and a resurfacing threat.",Harry Potter and the Goblet of Fire (Book 4)
4.9,Only 14 left in stock (more on the way).,22.04,Stephen WiacekDKStan Lee,"[""Books"",""Comics & Graphic Novels"",""Graphic Novels""]",Amazon,"This comprehensive encyclopedia offers an in-depth, visually rich guide to the Marvel Universe, detailing characters, teams, locations, and key events from its rich history.","Marvel Encyclopedia, New Edition"
4.7,,,"Ashlee Vance (Author), Fred Sanders (Narrator), HarperAudio (Publisher) & 0 more","[""Books"",""Engineering & Transportation"",""Engineering"",""Reference"",""Patents & Inventions""]",Amazon,"Ashlee Vance's biography chronicles Elon Musk's audacious pursuit of transforming industries and humanity's future through Tesla, SpaceX, and other ventures.","Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future"
4.8,In Stock.,17.49,Rupi Kaur,"[""Books"",""Literature & Fiction"",""Poetry""]",Amazon,"In ""Home Body,"" Rupi Kaur explores self-love, healing, and personal growth through a collection of poems and illustrations that encourage readers to connect with their inner selves.",Home Body
4.8,In Stock.,14.69,Adir Levy,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",Amazon Warehouse,"This book empowers young readers by presenting Danny with a series of everyday choices, illustrating how each decision shapes his day and its outcomes.",What Should Danny Do? (The Power to Choose Series)
4.8,In Stock.,18.48,Stephen King,"[""Books"",""Reference"",""Writing, Research & Publishing Guides""]",Online Prime Books,"Stephen King's ""On Writing"" is a candid memoir interwoven with practical advice, sharing his journey as a writer and offering guidance on everything from plot and character to overcoming writer's block and maintaining a dedicated writing practice.",On Writing: A Memoir of the Craft
4.7,,,"Clarissa Pinkola Estes (Narrator), Clarissa Pinkola Estés (Author), Sounds True (Publisher) & 0 more","[""Books"",""Religion & Spirituality"",""New Age & Spirituality"",""Mental & Spiritual Healing""]",Amazon,"Clarissa Pinkola Estés's *Women Who Run with the Wolves* explores the ""Wild Woman"" archetype through a rich tapestry of myths, fairy tales, and stories, offering women a path to reconnect with their innate intuition, creativity, and natural vitality.",Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype
4.3,,,"Lucinda Berry (Author), Christine Williams (Narrator), Erin Bennett (Narrator), Dan John Miller (Narrator), Brilliance Audio (Publisher) & 2 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""Psychological""]",Amazon,"In *The Perfect Child*, a psychologist's quest to understand her own past leads her to a dangerous connection with a patient whose traumatic upbringing mirrors her own.",The Perfect Child
4.2,,,"Miranda Cowley Heller (Author), Nan McNamara (Narrator), Penguin Audio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""Family Life""]",Amazon,"In one sweltering summer day, secrets, desires, and the weight of the past unravel for Elle as she must choose between the stable love of her husband and the passionate rekindling of a childhood romance at her family's summer compound.",The Paper Palace: A Novel
4.7,In Stock.,7.49,Napoleon Hill,"[""Books"",""Business & Money"",""Personal Finance""]",ThriftBooks-Reno,"Napoleon Hill's ""Think and Grow Rich"" reveals that by mastering a set of eleven principles, including desire, faith, and persistence, individuals can achieve immense personal and financial success.",Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series)
4.3,,,Tana French,"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]",Amazon,"In Tana French's ""The Searcher,"" retired Chicago detective Cal Hooper moves to a remote Irish village seeking peace but finds himself drawn into a local mystery when a young boy disappears.",The Searcher: A Novel
4.6,,,"Chris Kyle (Author), Scott McEwan (Author), John Pruden (Narrator), Jim DeFelice (Author), HarperAudio (Publisher) & 2 more","[""Books"",""Biographies & Memoirs"",""Leaders & Notable People"",""Military"",""Afghan & Iraq Wars"",""Iraq War""]",Amazon,"This autobiography chronicles Chris Kyle's four tours in Iraq as a Navy SEAL sniper, detailing his combat experiences and the profound personal toll of his service.",American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History
4.8,In Stock.,13.49,Cottage Door Press,"[""Books"",""Children's Books"",""Literature & Fiction""]",Media Relay LLC,"This collection offers a year's worth of enchanting bedtime stories and classic rhymes, perfect for comforting young children as they drift off to sleep.",365 Bedtime Stories and Rhymes
4.8,In Stock.,10.16,Marcus Luttrell,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",Sunny with a Chance of Books,"In *Lone Survivor*, Marcus Luttrell recounts his harrowing experience as the sole survivor of a brutal firefight during Operation Redwing, detailing the bravery and sacrifice of his SEAL Team 10 brothers.",Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10
4.5,,,"Jim Roberts (Narrator), Sun Tzu (Author), Jimcin Recordings (Publisher) & 0 more","[""Books"",""Business & Money"",""Job Hunting & Careers"",""Guides""]",Amazon,"Sun Tzu's *The Art of War* offers timeless strategic principles for achieving victory through careful planning, deception, and understanding one's enemy and oneself.",The Art of War
4.5,,,"John Grisham (Author, Narrator), Mary-Louise Parker (Narrator), Random House Audio (Publisher) & 0 more","[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense"",""Suspense""]",Amazon,"In John Grisham's ""The Judge's List,"" a seasoned lawyer, a mysterious young woman, and a legendary judge become entangled in a dangerous quest for justice against a prolific serial killer.",The Judge's List: A Novel
4.8,In Stock.,13.99,Moriah Elizabeth,"[""Books"",""Self-Help"",""Creativity""]",Mariah’s Materials,"""Create This Book 2"" is a guided journal that encourages artists of all levels to explore their creativity through fun prompts, exercises, and space for personal expression.",Create This Book 2
4.6,,,"David Baldacci (Author), Kyf Brewer (Narrator), Orlagh Cassidy (Narrator), Hachette Audio (Publisher) & 1 more","[""Books"",""Literature & Fiction"",""Action & Adventure"",""Mystery, Thriller & Suspense"",""Mystery""]",Amazon,"In the fifth installment of the Memory Man series, Amos Decker and his team race against time to prevent a catastrophic act of terrorism that has deep personal connections to Decker's past.","Redemption: Memory Man Series, Book 5"
4.8,In Stock.,9.98,Delia Owens,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",New Legacy Books,"In ""Where the Crawdads Sing,"" Kya, a resourceful girl abandoned in the North Carolina marshes, navigates survival, love, and ultimately, a murder accusation.",Where the Crawdads Sing
4.7,In Stock.,21.99,Catherine V Holmes,"[""Books"",""Arts & Photography"",""Graphic Design""]",Amazon,"This book provides a fun and accessible guide to drawing, offering techniques and inspiration for both students and teachers to create visually appealing and dynamic artwork.",How to Draw Cool Stuff: A Drawing Guide for Teachers and Students
4.5,,,"David Baldacci (Author), Brittany Pressley (Narrator), Kyf Brewer (Narrator), Grand Central Publishing (Publisher) & 1 more","[""Books"",""Literature & Fiction"",""Action & Adventure"",""Mystery, Thriller & Suspense"",""Crime""]",Amazon,"In David Baldacci's *Daylight*, a seemingly straightforward missing person case pulls FBI Special Agent Atlee Pine into a dangerous confrontation with a killer from her past, forcing her to confront her own deeply buried trauma.",Daylight
4.9,In Stock.,16.99,Julia Donaldson,"[""Books"",""Children's Books"",""Science Fiction & Fantasy""]",2nd Life Aloha,"A witch and her cat gather new friends on their broomstick, making it increasingly crowded until a magical solution is found.",Room on the Broom
4.7,In Stock.,9.96,Khaled Hosseini,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",-OnTimeBooks-,"""A Thousand Splendid Suns"" tells the story of two Afghan women, Mariam and Laila, whose lives become intertwined by marriage and suffering, ultimately finding strength and resilience in their shared experiences amidst decades of conflict and oppression.",A Thousand Splendid Suns
4.7,In Stock.,13.56,Lois Lowry,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",8 trax media,"In a seemingly utopian society that has eliminated pain and choice, a young boy is chosen to be the community's Receiver of Memory and learns the true cost of their perfect world.",The Giver (25th Anniversary Edition): 25th Anniversary Edition (Giver Quartet)
